103 17711 25.716 7.7742 3.8715 2.3821
104 17911 26.007 7.862 3.9152 2.409
105 18111 26.297 7.9498 3.959 2.4359
106 18311 26.588 8.0376 4.0027 2.4628
107 18511 26.878 8.1254 4.0464 2.4897
108 18711 27.168 8.2132 4.0901 2.5166
109 18911 27.459 8.301 4.1338 2.5435
110 19111 27.749 8.3888 4.1775 2.5704
111 19311 28.04 8.4766 4.2213 2.5973
112 19511 28.33 8.5643 4.265 2.6242
113 19711 28.62 8.6521 4.3087 2.6511
114 19911 28.911 8.7399 4.3524 2.678
115 20000 29.04 8.7789 4.3719 2.69
