2039 0 3.82873e-07 3.86416e-07 3.94559e-07 4.08707e-07 4.2809e-07 4.49538e-07 4.68987e-07 4.83472e-07 4.91967e-07 0 Fr_45
3035 0 1.53149e-06 1.54566e-06 1.57824e-06 1.63483e-06 1.71236e-06 1.79815e-06 1.87595e-06 1.93389e-06 1.96787e-06 0 Pe_45
2034 0 4.51712e-07 4.55968e-07 4.65661e-07 4.82422e-07 5.05354e-07 5.30732e-07 5.53764e-07 5.7094e-07 5.81026e-07 0 Fr_40
3030 0 1.80685e-06 1.82387e-06 1.86264e-06 1.92969e-06 2.02142e-06 2.12293e-06 2.21506e-06 2.28376e-06 2.3241e-06 0 Pe_40
2029 0 5.57066e-07 5.62304e-07 5.74243e-07 5.94903e-07 6.23174e-07 6.54459e-07 6.8285e-07 7.04018e-07 7.16446e-07 0 Fr_35
3025 0 2.22827e-06 2.24921e-06 2.29697e-06 2.37961e-06 2.4927e-06 2.61783e-06 2.7314e-06 2.81607e-06 2.86578e-06 0 Pe_35
2024 0 7.00311e-07 7.06952e-07 7.22024e-07 7.48049e-07 7.83637e-07 8.2302e-07 8.58777e-07 8.85452e-07 9.01122e-07 0 Fr_30
3020 0 2.80124e-06 2.82781e-06 2.8881e-06 2.9922e-06 3.13455e-06 3.29208e-06 3.43511e-06 3.54181e-06 3.60449e-06 0 Pe_30
2019 0 9.31094e-07 9.40019e-07 9.60163e-07 9.9485e-07 1.04224e-06 1.0947e-06 1.14235e-06 1.17792e-06 1.19883e-06 0 Fr_25
3015 0 3.72438e-06 3.76008e-06 3.84065e-06 3.9794e-06 4.16898e-06 4.37879e-06 4.56938e-06 4.71167e-06 4.79532e-06 0 Pe_25
2014 0 1.45353e-06 1.47105e-06 1.50612e-06 1.56297e-06 1.63939e-06 1.72458e-06 1.8034e-06 1.8636e-06 1.89977e-06 0 Fr_20
3010 0 5.81414e-06 5.88419e-06 6.02447e-06 6.25187e-06 6.55756e-06 6.89834e-06 7.21361e-06 7.4544e-06 7.5991e-06 0 Pe_20
2010 0 2.10563e-06 2.13155e-06 2.18292e-06 2.26571e-06 2.37682e-06 2.50075e-06 2.61558e-06 2.70346e-06 2.75637e-06 0 Fr_16
3006 0 8.42252e-06 8.52619e-06 8.73167e-06 9.06286e-06 9.5073e-06 1.0003e-05 1.04623e-05 1.08139e-05 1.10255e-05 0 Pe_16
2006 0 3.29036e-06 3.33201e-06 3.41348e-06 3.5438e-06 3.71827e-06 3.913e-06 4.09381e-06 4.23255e-06 4.31629e-06 0 Fr_12
3002 0 1.31615e-05 1.33281e-05 1.36539e-05 1.41752e-05 1.48731e-05 1.5652e-05 1.63753e-05 1.69302e-05 1.72652e-05 0 Pe_12
2003 0 5.15227e-06 5.21923e-06 5.34862e-06 5.55407e-06 5.82853e-06 6.13508e-06 6.42033e-06 6.63975e-06 6.77251e-06 0 Fr_9
2999 0 2.06091e-05 2.08769e-05 2.13945e-05 2.22163e-05 2.33141e-05 2.45403e-05 2.56813e-05 2.6559e-05 2.709e-05 0 Pe_9
2002 0 7.38314e-06 7.50306e-06 7.71143e-06 8.01898e-06 8.41782e-06 8.86274e-06 9.28189e-06 9.60991e-06 9.81163e-06 0 Fr_8
2998 0 2.95326e-05 3.00122e-05 3.08457e-05 3.20759e-05 3.36713e-05 3.5451e-05 3.71276e-05 3.84396e-05 3.92465e-05 0 Pe_8
2001 0 9.4967e-06 9.65805e-06 9.93295e-06 1.03327e-05 1.08478e-05 1.14224e-05 1.19654e-05 1.2392e-05 1.26553e-05 0 Fr_7
2997 0 3.79868e-05 3.86322e-05 3.97318e-05 4.13306e-05 4.33911e-05 4.56896e-05 4.78614e-05 4.95679e-05 5.06212e-05 0 Pe_7
2000 0 1.23005e-05 1.25137e-05 1.2874e-05 1.33945e-05 1.40635e-05 1.48101e-05 1.55166e-05 1.60729e-05 1.64169e-05 0 Fr_6
2996 0 4.92019e-05 5.00549e-05 5.1496e-05 5.35779e-05 5.62541e-05 5.92404e-05 6.20666e-05 6.42917e-05 6.56676e-05 0 Pe_6
1999 0 1.66658e-05 1.69625e-05 1.74583e-05 1.81685e-05 1.90784e-05 2.00938e-05 2.10569e-05 2.1817e-05 2.22882e-05 0 Fr_5
2995 0 6.66631e-05 6.78498e-05 6.98331e-05 7.26741e-05 7.63135e-05 8.03754e-05 8.42275e-05 8.72681e-05 8.91527e-05 0 Pe_5
8 0 0.000120688 0.000122902 0.000126558 0.000131745 0.000138364 0.000145755 0.00015278 0.000158343 0.0001618 0 I_4
7 0 0.000195779 0.000199507 0.000205572 0.000214076 0.000224874 0.000236936 0.000248438 0.000257579 0.00026328 0 I_3
6 0 0.000392119 0.000399969 0.000412495 0.000429774 0.000451561 0.000475913 0.000499233 0.000517861 0.000529531 0 I_2
5 0 0.00129083 0.00131903 0.0013626 0.001421 0.00149372 0.00157509 0.00165361 0.00171691 0.00175688 0 I_1
0 0 0.00279027 0.002848 0.00293907 0.00306347 0.00321972 0.00339452 0.00356243 0.00369705 0.00378165 0 V_1
1 0 0.000532472 0.000541731 0.000557367 0.000579952 0.000608988 0.000641398 0.000672084 0.000696252 0.000711201 0 V_2
2 0 0.000210364 0.000213642 0.00021944 0.000228107 0.000239398 0.000251982 0.000263796 0.000273003 0.000278643 0 V_3
3 0 0.000110603 0.000112199 0.00011512 0.000119589 0.000125463 0.000132003 0.000138109 0.000142833 0.000145707 0 V_4
4 0 6.73286e-05 6.82442e-05 6.99664e-05 7.26486e-05 7.61962e-05 8.0143e-05 8.38122e-05 8.66359e-05 8.83454e-05 0 V_5
1007 0 1.78361e-05 1.80221e-05 1.84225e-05 1.90969e-05 2.00137e-05 2.10321e-05 2.19646e-05 2.26676e-05 2.30847e-05 0 Fa_9
1010 0 9.7009e-06 9.79852e-06 1.00125e-05 1.03764e-05 1.08723e-05 1.14229e-05 1.19258e-05 1.23037e-05 1.25273e-05 0 Fa_12
1013 0 6.13628e-06 6.19546e-06 6.32814e-06 6.55617e-06 6.86798e-06 7.21383e-06 7.52887e-06 7.76478e-06 7.90386e-06 0 Fa_15
1018 0 3.44664e-06 3.47878e-06 3.55216e-06 3.67934e-06 3.85366e-06 4.04689e-06 4.22253e-06 4.3537e-06 4.43082e-06 0 Fa_20
1023 0 2.08505e-06 2.1026e-06 2.14504e-06 2.22049e-06 2.3246e-06 2.43973e-06 2.54367e-06 2.62062e-06 2.66546e-06 0 Fa_25
1028 0 1.38726e-06 1.39886e-06 1.42702e-06 1.47715e-06 1.54637e-06 1.62289e-06 1.69197e-06 1.74308e-06 1.77286e-06 0 Fa_30
