0 0 0 0 0 
3.3599e-12 2.4887e-13 2.0958e-13 1.1058e-13 6.7327e-14 
3.4276e-12 2.5319e-13 2.1284e-13 1.1218e-13 6.8243e-14 
3.5354e-12 2.605e-13 2.1862e-13 1.151e-13 6.9965e-14 
3.6839e-12 2.7105e-13 2.2725e-13 1.1957e-13 7.2647e-14 
3.8712e-12 2.8463e-13 2.385e-13 1.2544e-13 7.6194e-14 
4.0807e-12 2.9977e-13 2.5104e-13 1.3198e-13 8.0141e-14 
4.2814e-12 3.1411e-13 2.6281e-13 1.3808e-13 8.381e-14 
4.4419e-12 3.2541e-13 2.7198e-13 1.4281e-13 8.6634e-14 
4.5425e-12 3.324e-13 2.776e-13 1.4568e-13 8.8343e-14 
0 0 0 0 0 
